Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,1.000000,253,16,8771,5321870,0.940520,0.971964,0.027987,0.027938
MidWest,1,JJA,1,1.500000,246,23,6201,5321870,0.914498,0.961843,0.038022,0.037973
MidWest,1,JJA,1,2.000000,232,37,4312,5321870,0.862454,0.948944,0.050644,0.050596
MidWest,1,JJA,1,2.500000,228,41,3901,5321870,0.847584,0.944781,0.054676,0.054629
MidWest,1,JJA,1,5.000000,203,66,2450,5321870,0.754647,0.923483,0.074660,0.074614
MidWest,1,JJA,1,7.500000,191,78,1961,5321870,0.710037,0.911245,0.085650,0.085606
MidWest,1,JJA,1,10.000000,171,98,1569,5321870,0.635688,0.901724,0.093036,0.092993
MidWest,1,JJA,1,15.000000,155,114,1252,5321870,0.576208,0.889837,0.101907,0.101865
MidWest,1,JJA,1,25.000000,131,138,831,5321870,0.486989,0.863825,0.119091,0.119052
MidWest,1,JJA,1,30.000000,124,145,752,5321870,0.460967,0.858447,0.121450,0.121411
MidWest,1,JJA,1,40.000000,101,168,590,5321870,0.375465,0.853835,0.117579,0.117543
MidWest,1,JJA,1,50.000000,93,176,478,5321870,0.345725,0.837128,0.124498,0.124464
MidWest,1,JJA,1,75.000000,78,191,373,5321870,0.289963,0.827051,0.121495,0.121464
MidWest,1,JJA,1,100.000000,65,204,275,5321870,0.241636,0.808824,0.119485,0.119457
MidWest,1,SON,2,1.000000,128,5,3331,5456850,0.962406,0.962995,0.036952,0.036928
MidWest,1,SON,2,1.500000,124,9,2354,5456850,0.932331,0.949960,0.049859,0.049836
MidWest,1,SON,2,2.000000,117,16,1664,5456850,0.879699,0.934307,0.065109,0.065086
MidWest,1,SON,2,2.500000,116,17,1512,5456850,0.872180,0.928747,0.070517,0.070494
MidWest,1,SON,2,5.000000,103,30,951,5456850,0.774436,0.902277,0.095018,0.094997
MidWest,1,SON,2,7.500000,93,40,768,5456850,0.699248,0.891986,0.103219,0.103198
MidWest,1,SON,2,10.000000,86,47,647,5456850,0.646617,0.882674,0.110256,0.110236
MidWest,1,SON,2,15.000000,76,57,528,5456850,0.571429,0.874172,0.114977,0.114958
