Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,50.800000,253,16,11507,2607528,0.940520,0.978486,0.021484,0.021384
MidWest,1,JJA,1,63.500000,240,29,7235,2607528,0.892193,0.967893,0.031983,0.031884
MidWest,1,JJA,1,76.200000,224,45,4483,2607528,0.832714,0.952411,0.047138,0.047041
MidWest,1,JJA,1,88.900000,196,73,2794,2607528,0.728625,0.934448,0.063990,0.063895
MidWest,1,JJA,1,101.600000,163,106,1716,2607528,0.605948,0.913252,0.082116,0.082026
MidWest,1,JJA,1,127.000000,105,164,611,2607528,0.390335,0.853352,0.119318,0.119244
MidWest,1,JJA,1,152.400000,56,213,229,2607528,0.208178,0.803509,0.112450,0.112397
MidWest,1,SON,2,50.800000,130,3,4795,2682311,0.977444,0.973604,0.026380,0.026332
MidWest,1,SON,2,63.500000,125,8,3074,2682311,0.939850,0.960925,0.038977,0.038930
MidWest,1,SON,2,76.200000,117,16,2107,2682311,0.879699,0.947392,0.052232,0.052186
MidWest,1,SON,2,88.900000,105,28,1446,2682311,0.789474,0.932302,0.066498,0.066452
MidWest,1,SON,2,101.600000,93,40,990,2682311,0.699248,0.914127,0.082814,0.082770
MidWest,1,SON,2,127.000000,66,67,453,2682311,0.496241,0.872832,0.112628,0.112589
MidWest,1,SON,2,152.400000,43,90,201,2682311,0.323308,0.823770,0.128743,0.128711
MidWest,1,DJF,3,50.800000,34,8,980,1257116,0.809524,0.966469,0.033268,0.033236
MidWest,1,DJF,3,63.500000,26,16,539,1257116,0.619048,0.953982,0.044750,0.044719
MidWest,1,DJF,3,76.200000,16,26,311,1257116,0.380952,0.951070,0.045326,0.045296
MidWest,1,DJF,3,88.900000,9,33,200,1257116,0.214286,0.956938,0.037190,0.037162
MidWest,1,DJF,3,101.600000,6,36,144,1257116,0.142857,0.960000,0.032258,0.032232
MidWest,1,DJF,3,127.000000,2,40,85,1257116,0.047619,0.977011,0.015748,0.015726
MidWest,1,DJF,3,152.400000,0,42,65,1257116,0.000000,1.000000,0.000000,-0.000020
MidWest,1,MAM,4,50.800000,135,14,3647,2769793,0.906040,0.964305,0.035564,0.035512
MidWest,1,MAM,4,63.500000,124,25,1930,2769793,0.832215,0.939630,0.059644,0.059594
MidWest,1,MAM,4,76.200000,103,46,1062,2769793,0.691275,0.911588,0.085054,0.085006
MidWest,1,MAM,4,88.900000,79,70,612,2769793,0.530201,0.885673,0.103811,0.103767
MidWest,1,MAM,4,101.600000,69,80,383,2769793,0.463087,0.847345,0.129699,0.129659
MidWest,1,MAM,4,127.000000,41,108,147,2769793,0.275168,0.781915,0.138514,0.138484
MidWest,1,MAM,4,152.400000,19,130,63,2769793,0.127517,0.768293,0.089623,0.089604
MidWest,1,All,5,50.800000,552,41,20929,9316748,0.930860,0.974303,0.025648,0.025586
MidWest,1,All,5,63.500000,515,78,12778,9316748,0.868465,0.961258,0.038516,0.038455
MidWest,1,All,5,76.200000,460,133,7963,9316748,0.775717,0.945388,0.053763,0.053704
MidWest,1,All,5,88.900000,389,204,5052,9316748,0.655987,0.928506,0.068911,0.068853
MidWest,1,All,5,101.600000,331,262,3233,9316748,0.558179,0.907127,0.086513,0.086459
MidWest,1,All,5,127.000000,214,379,1296,9316748,0.360877,0.858278,0.113287,0.113242
MidWest,1,All,5,152.400000,118,475,558,9316748,0.198988,0.825444,0.102520,0.102486
Pacific,2,JJA,1,50.800000,0,1,419,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,63.500000,0,1,323,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,76.200000,0,1,272,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,88.900000,0,1,246,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,101.600000,0,1,222,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,127.000000,0,1,175,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,152.400000,0,1,130,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,SON,2,50.800000,3,0,896,2682311,1.000000,0.996663,0.003337,0.003336
Pacific,2,SON,2,63.500000,0,3,633,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,76.200000,0,3,511,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,88.900000,0,3,418,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,101.600000,0,3,333,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,127.000000,0,3,221,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,152.400000,0,3,162,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,DJF,3,50.800000,2,0,760,1257116,1.000000,0.997375,0.002625,0.002623
Pacific,2,DJF,3,63.500000,2,0,496,1257116,1.000000,0.995984,0.004016,0.004014
Pacific,2,DJF,3,76.200000,1,1,355,1257116,0.500000,0.997191,0.002801,0.002800
Pacific,2,DJF,3,88.900000,1,1,236,1257116,0.500000,0.995781,0.004202,0.004200
Pacific,2,DJF,3,101.600000,1,1,179,1257116,0.500000,0.994444,0.005525,0.005523
Pacific,2,DJF,3,127.000000,0,2,116,1257116,0.000000,1.000000,0.000000,-0.000002
Pacific,2,DJF,3,152.400000,0,2,69,1257116,0.000000,1.000000,0.000000,-0.000002
