Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,1.000000,260,9,15129,5088290,0.966543,0.983105,0.016885,0.016834
MidWest,1,JJA,1,1.500000,257,12,12409,5088290,0.955390,0.979709,0.020271,0.020220
MidWest,1,JJA,1,2.000000,254,15,9799,5088290,0.944238,0.974734,0.025228,0.025177
MidWest,1,JJA,1,2.500000,254,15,9147,5088290,0.944238,0.972982,0.026975,0.026924
MidWest,1,JJA,1,5.000000,240,29,6403,5088290,0.892193,0.963872,0.035971,0.035921
MidWest,1,JJA,1,7.500000,233,36,5434,5088290,0.866171,0.958885,0.040856,0.040805
MidWest,1,JJA,1,10.000000,220,49,4534,5088290,0.817844,0.953723,0.045805,0.045755
MidWest,1,JJA,1,15.000000,211,58,3744,5088290,0.784387,0.946650,0.052579,0.052530
MidWest,1,JJA,1,25.000000,178,91,2573,5088290,0.661710,0.935296,0.062632,0.062584
MidWest,1,JJA,1,30.000000,176,93,2331,5088290,0.654275,0.929797,0.067692,0.067645
MidWest,1,JJA,1,40.000000,163,106,1888,5088290,0.605948,0.920527,0.075568,0.075521
MidWest,1,JJA,1,50.000000,149,120,1524,5088290,0.553903,0.910938,0.083101,0.083056
MidWest,1,JJA,1,75.000000,132,137,1135,5088290,0.490706,0.895817,0.094017,0.093974
MidWest,1,JJA,1,100.000000,114,155,859,5088290,0.423792,0.882837,0.101064,0.101023
MidWest,1,SON,2,1.000000,129,4,5397,5396193,0.969925,0.976656,0.023327,0.023303
MidWest,1,SON,2,1.500000,127,6,4135,5396193,0.954887,0.970202,0.029756,0.029732
MidWest,1,SON,2,2.000000,124,9,3208,5396193,0.932331,0.962785,0.037115,0.037091
MidWest,1,SON,2,2.500000,122,11,2953,5396193,0.917293,0.960325,0.039533,0.039510
MidWest,1,SON,2,5.000000,113,20,1979,5396193,0.849624,0.945985,0.053504,0.053481
MidWest,1,SON,2,7.500000,107,26,1633,5396193,0.804511,0.938506,0.060589,0.060566
MidWest,1,SON,2,10.000000,102,31,1387,5396193,0.766917,0.931498,0.067105,0.067083
MidWest,1,SON,2,15.000000,96,37,1151,5396193,0.721805,0.923015,0.074766,0.074744
MidWest,1,SON,2,25.000000,82,51,803,5396193,0.616541,0.907345,0.087607,0.087586
MidWest,1,SON,2,30.000000,76,57,738,5396193,0.571429,0.906634,0.087256,0.087235
MidWest,1,SON,2,40.000000,69,64,629,5396193,0.518797,0.901146,0.090551,0.090531
MidWest,1,SON,2,50.000000,58,75,528,5396193,0.436090,0.901024,0.087746,0.087726
MidWest,1,SON,2,75.000000,49,84,402,5396193,0.368421,0.891353,0.091589,0.091570
MidWest,1,SON,2,100.000000,40,93,312,5396193,0.300752,0.886364,0.089888,0.089870
MidWest,1,DJF,3,1.000000,33,9,508,2539209,0.785714,0.939002,0.060000,0.059985
MidWest,1,DJF,3,1.500000,24,18,321,2539209,0.571429,0.930435,0.066116,0.066101
MidWest,1,DJF,3,2.000000,16,26,210,2539209,0.380952,0.929204,0.063492,0.063478
MidWest,1,DJF,3,2.500000,15,27,195,2539209,0.357143,0.928571,0.063291,0.063277
MidWest,1,DJF,3,5.000000,10,32,128,2539209,0.238095,0.927536,0.058824,0.058811
MidWest,1,DJF,3,7.500000,8,34,106,2539209,0.190476,0.929825,0.054054,0.054042
MidWest,1,DJF,3,10.000000,7,35,93,2539209,0.166667,0.930000,0.051852,0.051840
MidWest,1,DJF,3,15.000000,5,37,84,2539209,0.119048,0.943820,0.039683,0.039671
MidWest,1,DJF,3,25.000000,2,40,60,2539209,0.047619,0.967742,0.019608,0.019598
MidWest,1,DJF,3,30.000000,2,40,59,2539209,0.047619,0.967213,0.019802,0.019792
MidWest,1,DJF,3,40.000000,2,40,54,2539209,0.047619,0.964286,0.020833,0.020824
MidWest,1,DJF,3,50.000000,2,40,48,2539209,0.047619,0.960000,0.022222,0.022213
MidWest,1,DJF,3,75.000000,1,41,38,2539209,0.023810,0.974359,0.012500,0.012492
MidWest,1,DJF,3,100.000000,0,42,33,2539209,0.000000,1.000000,0.000000,-0.000007
MidWest,1,MAM,4,1.000000,137,12,4461,5545320,0.919463,0.970204,0.029718,0.029692
MidWest,1,MAM,4,1.500000,127,22,3032,5545320,0.852349,0.959797,0.039925,0.039899
MidWest,1,MAM,4,2.000000,117,32,1972,5545320,0.785235,0.943992,0.055163,0.055138
