Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,267,2,28450,8091912,0.992565,0.990702,0.009297,0.009264
MidWest,1,JJA,1,1.000000,267,2,23405,8091912,0.992565,0.988721,0.011278,0.011245
MidWest,1,JJA,1,1.500000,264,5,20570,8091912,0.981413,0.987328,0.012669,0.012636
MidWest,1,JJA,1,2.000000,264,5,18569,8091912,0.981413,0.985982,0.014014,0.013982
MidWest,1,JJA,1,2.500000,264,5,16880,8091912,0.981413,0.984601,0.015394,0.015362
MidWest,1,JJA,1,3.000000,261,8,15496,8091912,0.970260,0.983436,0.016556,0.016523
MidWest,1,JJA,1,3.500000,261,8,14226,8091912,0.970260,0.981984,0.018006,0.017974
MidWest,1,JJA,1,4.000000,261,8,13126,8091912,0.970260,0.980503,0.019485,0.019452
MidWest,1,JJA,1,4.500000,259,10,12132,8091912,0.962825,0.979098,0.020885,0.020853
MidWest,1,JJA,1,5.000000,258,11,11202,8091912,0.959108,0.977487,0.022492,0.022459
MidWest,1,JJA,1,5.500000,258,11,10408,8091912,0.959108,0.975811,0.024164,0.024132
MidWest,1,JJA,1,6.000000,256,13,9615,8091912,0.951673,0.974065,0.025900,0.025868
MidWest,1,JJA,1,6.500000,256,13,8948,8091912,0.951673,0.972186,0.027775,0.027743
MidWest,1,JJA,1,7.000000,254,15,8294,8091912,0.944238,0.970285,0.029663,0.029630
MidWest,1,JJA,1,7.500000,253,16,7748,8091912,0.940520,0.968379,0.031558,0.031526
MidWest,1,JJA,1,8.000000,251,18,7173,8091912,0.933086,0.966191,0.033727,0.033695
MidWest,1,JJA,1,8.500000,249,20,6698,8091912,0.925651,0.964157,0.035740,0.035708
MidWest,1,JJA,1,9.000000,249,20,6225,8091912,0.925651,0.961538,0.038343,0.038311
MidWest,1,JJA,1,9.500000,248,21,5790,8091912,0.921933,0.958927,0.040931,0.040899
MidWest,1,JJA,1,10.000000,244,25,5341,8091912,0.907063,0.956312,0.043494,0.043462
MidWest,1,JJA,1,10.500000,241,28,4938,8091912,0.895911,0.953466,0.046284,0.046252
MidWest,1,JJA,1,11.000000,240,29,4585,8091912,0.892193,0.950259,0.049444,0.049412
MidWest,1,JJA,1,11.500000,236,33,4260,8091912,0.877323,0.947509,0.052109,0.052077
MidWest,1,JJA,1,12.000000,233,36,3939,8091912,0.866171,0.944151,0.055371,0.055340
MidWest,1,SON,2,0.500000,132,1,18990,8892869,0.992481,0.993097,0.006903,0.006888
MidWest,1,SON,2,1.000000,132,1,13539,8892869,0.992481,0.990345,0.009655,0.009640
MidWest,1,SON,2,1.500000,132,1,10550,8892869,0.992481,0.987643,0.012356,0.012341
MidWest,1,SON,2,2.000000,132,1,8617,8892869,0.992481,0.984913,0.015086,0.015071
MidWest,1,SON,2,2.500000,132,1,7347,8892869,0.992481,0.982351,0.017647,0.017632
MidWest,1,SON,2,3.000000,132,1,6412,8892869,0.992481,0.979829,0.020168,0.020153
MidWest,1,SON,2,3.500000,131,2,5700,8892869,0.984962,0.977534,0.022458,0.022444
MidWest,1,SON,2,4.000000,129,4,5110,8892869,0.969925,0.975377,0.024604,0.024590
MidWest,1,SON,2,4.500000,129,4,4630,8892869,0.969925,0.972893,0.027084,0.027069
MidWest,1,SON,2,5.000000,128,5,4216,8892869,0.962406,0.970534,0.029432,0.029418
MidWest,1,SON,2,5.500000,127,6,3863,8892869,0.954887,0.968170,0.031782,0.031767
MidWest,1,SON,2,6.000000,126,7,3538,8892869,0.947368,0.965611,0.034323,0.034309
MidWest,1,SON,2,6.500000,126,7,3257,8892869,0.947368,0.962755,0.037168,0.037154
MidWest,1,SON,2,7.000000,125,8,3002,8892869,0.939850,0.960026,0.039872,0.039858
MidWest,1,SON,2,7.500000,125,8,2766,8892869,0.939850,0.956762,0.043118,0.043104
MidWest,1,SON,2,8.000000,124,9,2552,8892869,0.932331,0.953662,0.046182,0.046168
MidWest,1,SON,2,8.500000,124,9,2353,8892869,0.932331,0.949939,0.049879,0.049865
MidWest,1,SON,2,9.000000,124,9,2160,8892869,0.932331,0.945709,0.054078,0.054064
MidWest,1,SON,2,9.500000,124,9,2004,8892869,0.932331,0.941729,0.058025,0.058011
MidWest,1,SON,2,10.000000,119,14,1851,8892869,0.894737,0.939594,0.059980,0.059966
MidWest,1,SON,2,10.500000,118,15,1716,8892869,0.887218,0.935660,0.063818,0.063804
MidWest,1,SON,2,11.000000,118,15,1574,8892869,0.887218,0.930260,0.069127,0.069113
MidWest,1,SON,2,11.500000,115,18,1460,8892869,0.864662,0.926984,0.072191,0.072177
MidWest,1,SON,2,12.000000,113,20,1349,8892869,0.849624,0.922709,0.076248,0.076235
MidWest,1,DJF,3,0.500000,42,0,6182,4244310,1.000000,0.993252,0.006748,0.006738
MidWest,1,DJF,3,1.000000,42,0,3864,4244310,1.000000,0.989247,0.010753,0.010743
MidWest,1,DJF,3,1.500000,42,0,2609,4244310,1.000000,0.984157,0.015843,0.015833
MidWest,1,DJF,3,2.000000,42,0,1880,4244310,1.000000,0.978148,0.021852,0.021843
