Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,1.000000,256,13,10121,5271338,0.951673,0.975330,0.024639,0.024589
MidWest,1,JJA,1,1.500000,252,17,7516,5271338,0.936803,0.967559,0.032370,0.032321
MidWest,1,JJA,1,2.000000,246,23,5480,5271338,0.914498,0.957038,0.042790,0.042741
MidWest,1,JJA,1,2.500000,243,26,5014,5271338,0.903346,0.953776,0.045997,0.045948
MidWest,1,JJA,1,5.000000,218,51,3268,5271338,0.810409,0.937464,0.061634,0.061587
MidWest,1,JJA,1,7.500000,203,66,2662,5271338,0.754647,0.929145,0.069260,0.069213
MidWest,1,JJA,1,10.000000,190,79,2140,5271338,0.706320,0.918455,0.078871,0.078825
MidWest,1,JJA,1,15.000000,179,90,1735,5271338,0.665428,0.906479,0.089321,0.089277
MidWest,1,JJA,1,25.000000,148,121,1165,5271338,0.550186,0.887281,0.103208,0.103166
MidWest,1,JJA,1,30.000000,143,126,1037,5271338,0.531599,0.878814,0.109495,0.109454
MidWest,1,JJA,1,40.000000,127,142,858,5271338,0.472119,0.871066,0.112689,0.112649
MidWest,1,JJA,1,50.000000,116,153,704,5271338,0.431227,0.858537,0.119219,0.119181
MidWest,1,JJA,1,75.000000,101,168,524,5271338,0.375465,0.838400,0.127364,0.127329
MidWest,1,JJA,1,100.000000,83,186,392,5271338,0.308550,0.825263,0.125567,0.125535
MidWest,1,SON,2,1.000000,126,7,3631,5449684,0.947368,0.966463,0.033475,0.033451
MidWest,1,SON,2,1.500000,124,9,2587,5449684,0.932331,0.954260,0.045588,0.045565
MidWest,1,SON,2,2.000000,116,17,1849,5449684,0.872180,0.940967,0.058527,0.058504
MidWest,1,SON,2,2.500000,114,19,1680,5449684,0.857143,0.936455,0.062879,0.062857
MidWest,1,SON,2,5.000000,95,38,1067,5449684,0.714286,0.918244,0.079167,0.079145
MidWest,1,SON,2,7.500000,88,45,882,5449684,0.661654,0.909278,0.086700,0.086678
MidWest,1,SON,2,10.000000,79,54,730,5449684,0.593985,0.902349,0.091541,0.091520
MidWest,1,SON,2,15.000000,73,60,593,5449684,0.548872,0.890390,0.100551,0.100531
MidWest,1,SON,2,25.000000,59,74,407,5449684,0.443609,0.873391,0.109259,0.109241
MidWest,1,SON,2,30.000000,55,78,366,5449684,0.413534,0.869359,0.110220,0.110202
MidWest,1,SON,2,40.000000,48,85,300,5449684,0.360902,0.862069,0.110855,0.110837
MidWest,1,SON,2,50.000000,41,92,245,5449684,0.308271,0.856643,0.108466,0.108449
MidWest,1,SON,2,75.000000,35,98,182,5449684,0.263158,0.838710,0.111111,0.111096
MidWest,1,SON,2,100.000000,30,103,141,5449684,0.225564,0.824561,0.109489,0.109475
MidWest,1,DJF,3,1.000000,32,13,367,5520015,0.711111,0.919799,0.077670,0.077663
MidWest,1,DJF,3,1.500000,21,24,231,5520015,0.466667,0.916667,0.076087,0.076080
MidWest,1,DJF,3,2.000000,14,31,156,5520015,0.311111,0.917647,0.069652,0.069645
MidWest,1,DJF,3,2.500000,13,32,132,5520015,0.288889,0.910345,0.073446,0.073440
MidWest,1,DJF,3,5.000000,11,34,87,5520015,0.244444,0.887755,0.083333,0.083328
MidWest,1,DJF,3,7.500000,9,36,78,5520015,0.200000,0.896552,0.073171,0.073165
MidWest,1,DJF,3,10.000000,7,38,65,5520015,0.155556,0.902778,0.063636,0.063631
MidWest,1,DJF,3,15.000000,6,39,56,5520015,0.133333,0.903226,0.059406,0.059401
MidWest,1,DJF,3,25.000000,3,42,51,5520015,0.066667,0.944444,0.031250,0.031246
MidWest,1,DJF,3,30.000000,3,42,48,5520015,0.066667,0.941176,0.032258,0.032254
MidWest,1,DJF,3,40.000000,3,42,45,5520015,0.066667,0.937500,0.033333,0.033329
MidWest,1,DJF,3,50.000000,3,42,37,5520015,0.066667,0.925000,0.036585,0.036582
MidWest,1,DJF,3,75.000000,2,43,28,5520015,0.044444,0.933333,0.027397,0.027394
MidWest,1,DJF,3,100.000000,1,44,22,5520015,0.022222,0.956522,0.014925,0.014923
MidWest,1,MAM,4,1.000000,125,24,2471,5590026,0.838926,0.951849,0.047710,0.047685
MidWest,1,MAM,4,1.500000,113,36,1531,5590026,0.758389,0.931265,0.067262,0.067238
MidWest,1,MAM,4,2.000000,100,49,912,5590026,0.671141,0.901186,0.094251,0.094228
MidWest,1,MAM,4,2.500000,94,55,790,5590026,0.630872,0.893665,0.100106,0.100084
MidWest,1,MAM,4,5.000000,68,81,410,5590026,0.456376,0.857741,0.121646,0.121626
MidWest,1,MAM,4,7.500000,57,92,312,5590026,0.382550,0.845528,0.123644,0.123626
MidWest,1,MAM,4,10.000000,46,103,225,5590026,0.308725,0.830258,0.122995,0.122978
MidWest,1,MAM,4,15.000000,41,108,173,5590026,0.275168,0.808411,0.127329,0.127314
MidWest,1,MAM,4,25.000000,30,119,108,5590026,0.201342,0.782609,0.116732,0.116719
MidWest,1,MAM,4,30.000000,27,122,100,5590026,0.181208,0.787402,0.108434,0.108422
MidWest,1,MAM,4,40.000000,26,123,78,5590026,0.174497,0.750000,0.114537,0.114527
MidWest,1,MAM,4,50.000000,21,128,63,5590026,0.140940,0.750000,0.099057,0.099047
MidWest,1,MAM,4,75.000000,21,128,44,5590026,0.140940,0.676923,0.108808,0.108800
MidWest,1,MAM,4,100.000000,21,128,34,5590026,0.140940,0.618182,0.114754,0.114747
MidWest,1,All,5,1.000000,539,57,16590,21831063,0.904362,0.968533,0.031363,0.031336
MidWest,1,All,5,1.500000,510,86,11865,21831063,0.855705,0.958788,0.040928,0.040902
MidWest,1,All,5,2.000000,476,120,8397,21831063,0.798658,0.946354,0.052930,0.052905
MidWest,1,All,5,2.500000,464,132,7616,21831063,0.778523,0.942574,0.056503,0.056477
MidWest,1,All,5,5.000000,392,204,4832,21831063,0.657718,0.924962,0.072218,0.072194
MidWest,1,All,5,7.500000,357,239,3934,21831063,0.598993,0.916803,0.078808,0.078784
MidWest,1,All,5,10.000000,322,274,3160,21831063,0.540268,0.907524,0.085729,0.085706
MidWest,1,All,5,15.000000,299,297,2557,21831063,0.501678,0.895308,0.094830,0.094808
MidWest,1,All,5,25.000000,240,356,1731,21831063,0.402685,0.878234,0.103137,0.103116
MidWest,1,All,5,30.000000,228,368,1551,21831063,0.382550,0.871838,0.106195,0.106174
MidWest,1,All,5,40.000000,204,392,1281,21831063,0.342282,0.862626,0.108684,0.108665
MidWest,1,All,5,50.000000,181,415,1049,21831063,0.303691,0.852846,0.110030,0.110012
MidWest,1,All,5,75.000000,159,437,778,21831063,0.266779,0.830309,0.115721,0.115704
MidWest,1,All,5,100.000000,135,461,589,21831063,0.226510,0.813536,0.113924,0.113909
Pacific,2,JJA,1,1.000000,1,0,397,5271338,1.000000,0.997487,0.002513,0.002512
Pacific,2,JJA,1,1.500000,1,0,296,5271338,1.000000,0.996633,0.003367,0.003367
