Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,25.000000,261,8,19193,5322003,0.970260,0.986584,0.013411,0.013361
MidWest,1,JJA,1,50.000000,260,9,10425,5322003,0.966543,0.975667,0.024313,0.024264
MidWest,1,JJA,1,75.000000,251,18,5239,5322003,0.933086,0.954281,0.045570,0.045522
MidWest,1,JJA,1,100.000000,230,39,2596,5322003,0.855019,0.918613,0.080279,0.080233
MidWest,1,JJA,1,150.000000,154,115,638,5322003,0.572491,0.805556,0.169791,0.169754
MidWest,1,JJA,1,200.000000,90,179,212,5322003,0.334572,0.701987,0.187110,0.187084
MidWest,1,JJA,1,250.000000,51,218,78,5322003,0.189591,0.604651,0.146974,0.146958
MidWest,1,JJA,1,300.000000,28,241,34,5322003,0.104089,0.548387,0.092409,0.092400
MidWest,1,JJA,1,350.000000,12,257,24,5322003,0.044610,0.666667,0.040956,0.040950
MidWest,1,JJA,1,400.000000,9,260,18,5322003,0.033457,0.666667,0.031359,0.031354
MidWest,1,JJA,1,450.000000,7,262,15,5322003,0.026022,0.681818,0.024648,0.024644
MidWest,1,JJA,1,500.000000,6,263,10,5322003,0.022305,0.625000,0.021505,0.021503
MidWest,1,JJA,1,600.000000,4,265,7,5322003,0.014870,0.636364,0.014493,0.014491
MidWest,1,JJA,1,700.000000,4,265,2,5322003,0.014870,0.333333,0.014760,0.014759
MidWest,1,SON,2,25.000000,131,2,9466,5436692,0.984962,0.986350,0.013647,0.013623
MidWest,1,SON,2,50.000000,128,5,4601,5436692,0.962406,0.972933,0.027038,0.027015
MidWest,1,SON,2,75.000000,126,7,2343,5436692,0.947368,0.948967,0.050889,0.050865
MidWest,1,SON,2,100.000000,113,20,1231,5436692,0.849624,0.915923,0.082845,0.082822
MidWest,1,SON,2,150.000000,75,58,358,5436692,0.563910,0.826790,0.152749,0.152731
MidWest,1,SON,2,200.000000,38,95,114,5436692,0.285714,0.750000,0.153846,0.153833
MidWest,1,SON,2,250.000000,22,111,45,5436692,0.165414,0.671642,0.123596,0.123587
MidWest,1,SON,2,300.000000,11,122,15,5436692,0.082707,0.576923,0.074324,0.074320
MidWest,1,SON,2,350.000000,7,126,6,5436692,0.052632,0.461538,0.050360,0.050358
MidWest,1,SON,2,400.000000,4,129,5,5436692,0.030075,0.555556,0.028986,0.028984
MidWest,1,SON,2,450.000000,3,130,3,5436692,0.022556,0.500000,0.022059,0.022058
MidWest,1,SON,2,500.000000,1,132,2,5436692,0.007519,0.666667,0.007407,0.007407
MidWest,1,SON,2,600.000000,0,133,1,5436692,0.000000,1.000000,0.000000,-0.000000
MidWest,1,SON,2,700.000000,0,133,1,5436692,0.000000,1.000000,0.000000,-0.000000
MidWest,1,DJF,3,25.000000,44,1,2218,5508939,0.977778,0.980548,0.019443,0.019435
MidWest,1,DJF,3,50.000000,41,4,911,5508939,0.911111,0.956933,0.042887,0.042879
MidWest,1,DJF,3,75.000000,35,10,402,5508939,0.777778,0.919908,0.078300,0.078292
MidWest,1,DJF,3,100.000000,32,13,215,5508939,0.711111,0.870445,0.123077,0.123070
MidWest,1,DJF,3,150.000000,13,32,91,5508939,0.288889,0.875000,0.095588,0.095583
MidWest,1,DJF,3,200.000000,4,41,56,5508939,0.088889,0.933333,0.039604,0.039599
MidWest,1,DJF,3,250.000000,2,43,33,5508939,0.044444,0.942857,0.025641,0.025637
MidWest,1,DJF,3,300.000000,1,44,18,5508939,0.022222,0.947368,0.015873,0.015871
MidWest,1,DJF,3,350.000000,0,45,10,5508939,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,400.000000,0,45,7,5508939,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,450.000000,0,45,4,5508939,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,500.000000,0,45,4,5508939,0.000000,1.000000,0.000000,-0.000001
MidWest,1,DJF,3,600.000000,0,45,0,5508939,0.000000,NaN,0.000000,0.000000
MidWest,1,DJF,3,700.000000,0,45,0,5508939,0.000000,NaN,0.000000,0.000000
MidWest,1,MAM,4,25.000000,145,4,11163,5562895,0.973154,0.987177,0.012818,0.012792
MidWest,1,MAM,4,50.000000,141,8,4653,5562895,0.946309,0.970588,0.029363,0.029337
MidWest,1,MAM,4,75.000000,133,16,1979,5562895,0.892617,0.937027,0.062500,0.062475
MidWest,1,MAM,4,100.000000,115,34,865,5562895,0.771812,0.882653,0.113412,0.113389
MidWest,1,MAM,4,150.000000,65,84,234,5562895,0.436242,0.782609,0.169713,0.169695
MidWest,1,MAM,4,200.000000,48,101,101,5562895,0.322148,0.677852,0.192000,0.191987
MidWest,1,MAM,4,250.000000,30,119,63,5562895,0.201342,0.677419,0.141509,0.141499
MidWest,1,MAM,4,300.000000,20,129,54,5562895,0.134228,0.729730,0.098522,0.098513
MidWest,1,MAM,4,350.000000,15,134,50,5562895,0.100671,0.769231,0.075377,0.075369
MidWest,1,MAM,4,400.000000,11,138,43,5562895,0.073826,0.796296,0.057292,0.057285
MidWest,1,MAM,4,450.000000,10,139,30,5562895,0.067114,0.750000,0.055866,0.055860
MidWest,1,MAM,4,500.000000,8,141,29,5562895,0.053691,0.783784,0.044944,0.044939
MidWest,1,MAM,4,600.000000,5,144,17,5562895,0.033557,0.772727,0.030120,0.030117
MidWest,1,MAM,4,700.000000,3,146,11,5562895,0.020134,0.785714,0.018750,0.018748
MidWest,1,All,5,25.000000,581,15,42040,21830529,0.974832,0.986368,0.013627,0.013600
MidWest,1,All,5,50.000000,570,26,20590,21830529,0.956376,0.973062,0.026905,0.026878
MidWest,1,All,5,75.000000,545,51,9963,21830529,0.914430,0.948135,0.051615,0.051589
MidWest,1,All,5,100.000000,490,106,4907,21830529,0.822148,0.909209,0.089042,0.089018
MidWest,1,All,5,150.000000,307,289,1321,21830529,0.515101,0.811425,0.160146,0.160127
MidWest,1,All,5,200.000000,180,416,483,21830529,0.302013,0.728507,0.166821,0.166807
MidWest,1,All,5,250.000000,105,491,219,21830529,0.176174,0.675926,0.128834,0.128825
MidWest,1,All,5,300.000000,60,536,121,21830529,0.100671,0.668508,0.083682,0.083676
MidWest,1,All,5,350.000000,34,562,90,21830529,0.057047,0.725806,0.049563,0.049558
MidWest,1,All,5,400.000000,24,572,73,21830529,0.040268,0.752577,0.035874,0.035871
MidWest,1,All,5,450.000000,20,576,52,21830529,0.033557,0.722222,0.030864,0.030861
MidWest,1,All,5,500.000000,15,581,45,21830529,0.025168,0.750000,0.023401,0.023398
MidWest,1,All,5,600.000000,9,587,25,21830529,0.015101,0.735294,0.014493,0.014491
MidWest,1,All,5,700.000000,7,589,14,21830529,0.011745,0.666667,0.011475,0.011474
Pacific,2,JJA,1,25.000000,1,0,466,5322003,1.000000,0.997859,0.002141,0.002141
Pacific,2,JJA,1,50.000000,1,0,239,5322003,1.000000,0.995833,0.004167,0.004166
Pacific,2,JJA,1,75.000000,1,0,138,5322003,1.000000,0.992806,0.007194,0.007194
Pacific,2,JJA,1,100.000000,1,0,94,5322003,1.000000,0.989474,0.010526,0.010526
Pacific,2,JJA,1,150.000000,0,1,45,5322003,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,200.000000,0,1,13,5322003,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,250.000000,0,1,4,5322003,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,300.000000,0,1,1,5322003,0.000000,1.000000,0.000000,-0.000000
