Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,50.800000,253,16,11507,2607528,0.940520,0.978486,0.021484,0.021384
MidWest,1,JJA,1,63.500000,240,29,7235,2607528,0.892193,0.967893,0.031983,0.031884
MidWest,1,JJA,1,76.200000,224,45,4483,2607528,0.832714,0.952411,0.047138,0.047041
MidWest,1,JJA,1,88.900000,196,73,2794,2607528,0.728625,0.934448,0.063990,0.063895
MidWest,1,JJA,1,101.600000,163,106,1716,2607528,0.605948,0.913252,0.082116,0.082026
MidWest,1,JJA,1,127.000000,105,164,611,2607528,0.390335,0.853352,0.119318,0.119244
MidWest,1,JJA,1,152.400000,56,213,229,2607528,0.208178,0.803509,0.112450,0.112397
MidWest,1,SON,2,50.800000,130,3,4795,2682311,0.977444,0.973604,0.026380,0.026332
MidWest,1,SON,2,63.500000,125,8,3074,2682311,0.939850,0.960925,0.038977,0.038930
MidWest,1,SON,2,76.200000,117,16,2107,2682311,0.879699,0.947392,0.052232,0.052186
MidWest,1,SON,2,88.900000,105,28,1446,2682311,0.789474,0.932302,0.066498,0.066452
MidWest,1,SON,2,101.600000,93,40,990,2682311,0.699248,0.914127,0.082814,0.082770
MidWest,1,SON,2,127.000000,66,67,453,2682311,0.496241,0.872832,0.112628,0.112589
MidWest,1,SON,2,152.400000,43,90,201,2682311,0.323308,0.823770,0.128743,0.128711
MidWest,1,DJF,3,50.800000,35,10,1126,2742968,0.777778,0.969854,0.029889,0.029873
MidWest,1,DJF,3,63.500000,27,18,632,2742968,0.600000,0.959029,0.039882,0.039867
MidWest,1,DJF,3,76.200000,17,28,375,2742968,0.377778,0.956633,0.040476,0.040462
MidWest,1,DJF,3,88.900000,10,35,241,2742968,0.222222,0.960159,0.034965,0.034951
MidWest,1,DJF,3,101.600000,7,38,178,2742968,0.155556,0.962162,0.031390,0.031377
MidWest,1,DJF,3,127.000000,2,43,105,2742968,0.044444,0.981308,0.013333,0.013322
MidWest,1,DJF,3,152.400000,0,45,81,2742968,0.000000,1.000000,0.000000,-0.000011
MidWest,1,MAM,4,50.800000,135,14,3647,2769793,0.906040,0.964305,0.035564,0.035512
MidWest,1,MAM,4,63.500000,124,25,1930,2769793,0.832215,0.939630,0.059644,0.059594
MidWest,1,MAM,4,76.200000,103,46,1062,2769793,0.691275,0.911588,0.085054,0.085006
MidWest,1,MAM,4,88.900000,79,70,612,2769793,0.530201,0.885673,0.103811,0.103767
MidWest,1,MAM,4,101.600000,69,80,383,2769793,0.463087,0.847345,0.129699,0.129659
MidWest,1,MAM,4,127.000000,41,108,147,2769793,0.275168,0.781915,0.138514,0.138484
MidWest,1,MAM,4,152.400000,19,130,63,2769793,0.127517,0.768293,0.089623,0.089604
MidWest,1,All,5,50.800000,553,43,21075,10802600,0.927852,0.974431,0.025518,0.025464
MidWest,1,All,5,63.500000,516,80,12871,10802600,0.865772,0.961455,0.038316,0.038263
MidWest,1,All,5,76.200000,461,135,8027,10802600,0.773490,0.945688,0.053462,0.053410
MidWest,1,All,5,88.900000,390,206,5093,10802600,0.654362,0.928871,0.068553,0.068504
MidWest,1,All,5,101.600000,332,264,3267,10802600,0.557047,0.907752,0.085944,0.085897
MidWest,1,All,5,127.000000,214,382,1316,10802600,0.359060,0.860131,0.111925,0.111885
MidWest,1,All,5,152.400000,118,478,574,10802600,0.197987,0.829480,0.100855,0.100825
Pacific,2,JJA,1,50.800000,0,1,419,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,63.500000,0,1,323,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,76.200000,0,1,272,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,88.900000,0,1,246,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,101.600000,0,1,222,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,127.000000,0,1,175,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,JJA,1,152.400000,0,1,130,2607528,0.000000,1.000000,0.000000,-0.000000
Pacific,2,SON,2,50.800000,3,0,896,2682311,1.000000,0.996663,0.003337,0.003336
Pacific,2,SON,2,63.500000,0,3,633,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,76.200000,0,3,511,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,88.900000,0,3,418,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,101.600000,0,3,333,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,127.000000,0,3,221,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,SON,2,152.400000,0,3,162,2682311,0.000000,1.000000,0.000000,-0.000001
Pacific,2,DJF,3,50.800000,2,2,988,2742968,0.500000,0.997980,0.002016,0.002015
Pacific,2,DJF,3,63.500000,2,2,636,2742968,0.500000,0.996865,0.003125,0.003124
Pacific,2,DJF,3,76.200000,1,3,445,2742968,0.250000,0.997758,0.002227,0.002226
Pacific,2,DJF,3,88.900000,1,3,297,2742968,0.250000,0.996644,0.003322,0.003321
Pacific,2,DJF,3,101.600000,1,3,219,2742968,0.250000,0.995455,0.004484,0.004483
Pacific,2,DJF,3,127.000000,0,4,142,2742968,0.000000,1.000000,0.000000,-0.000001
Pacific,2,DJF,3,152.400000,0,4,84,2742968,0.000000,1.000000,0.000000,-0.000001
