Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,1.000000,259,10,13952,5150694,0.962825,0.981775,0.018213,0.018161
MidWest,1,JJA,1,1.500000,255,14,11244,5150694,0.947955,0.977824,0.022149,0.022098
MidWest,1,JJA,1,2.000000,244,25,8684,5150694,0.907063,0.972670,0.027253,0.027203
MidWest,1,JJA,1,2.500000,244,25,8052,5150694,0.907063,0.970588,0.029323,0.029273
MidWest,1,JJA,1,5.000000,201,68,5319,5150694,0.747212,0.963587,0.035970,0.035920
MidWest,1,JJA,1,7.500000,184,85,4429,5150694,0.684015,0.960113,0.039166,0.039116
MidWest,1,JJA,1,10.000000,157,112,3615,5150694,0.583643,0.958378,0.040422,0.040374
MidWest,1,JJA,1,15.000000,132,137,2926,5150694,0.490706,0.956835,0.041315,0.041267
MidWest,1,JJA,1,25.000000,100,169,1849,5150694,0.371747,0.948692,0.047214,0.047169
MidWest,1,JJA,1,30.000000,95,174,1652,5150694,0.353160,0.945621,0.049453,0.049408
MidWest,1,JJA,1,40.000000,83,186,1313,5150694,0.308550,0.940544,0.052465,0.052422
MidWest,1,JJA,1,50.000000,72,197,1030,5150694,0.267658,0.934664,0.055427,0.055385
MidWest,1,JJA,1,75.000000,56,213,693,5150694,0.208178,0.925234,0.058212,0.058174
MidWest,1,JJA,1,100.000000,40,229,489,5150694,0.148699,0.924386,0.052770,0.052736
MidWest,1,SON,2,1.000000,122,11,4545,5426128,0.917293,0.973859,0.026080,0.026056
MidWest,1,SON,2,1.500000,117,16,3402,5426128,0.879699,0.966752,0.033098,0.033074
MidWest,1,SON,2,2.000000,105,28,2539,5426128,0.789474,0.960287,0.039296,0.039273
MidWest,1,SON,2,2.500000,102,31,2331,5426128,0.766917,0.958076,0.041396,0.041373
MidWest,1,SON,2,5.000000,87,46,1496,5426128,0.654135,0.945041,0.053407,0.053384
MidWest,1,SON,2,7.500000,77,56,1201,5426128,0.578947,0.939750,0.057721,0.057699
MidWest,1,SON,2,10.000000,69,64,980,5426128,0.518797,0.934223,0.061995,0.061973
MidWest,1,SON,2,15.000000,65,68,800,5426128,0.488722,0.924855,0.069668,0.069647
MidWest,1,SON,2,25.000000,48,85,522,5426128,0.360902,0.915789,0.073282,0.073263
MidWest,1,SON,2,30.000000,43,90,475,5426128,0.323308,0.916988,0.070724,0.070704
