Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,266,3,13259,9246169,0.988848,0.980333,0.019663,0.019634
MidWest,1,JJA,1,1.000000,258,11,7890,9246169,0.959108,0.968336,0.031622,0.031593
MidWest,1,JJA,1,1.500000,251,18,5435,9246169,0.933086,0.955856,0.044004,0.043976
MidWest,1,JJA,1,2.000000,244,25,3916,9246169,0.907063,0.941346,0.058303,0.058276
MidWest,1,JJA,1,2.500000,237,32,2971,9246169,0.881041,0.926122,0.073148,0.073121
MidWest,1,JJA,1,3.000000,223,46,2299,9246169,0.828996,0.911578,0.086838,0.086812
MidWest,1,JJA,1,3.500000,198,71,1798,9246169,0.736059,0.900802,0.095791,0.095766
MidWest,1,JJA,1,4.000000,186,83,1412,9246169,0.691450,0.883605,0.110648,0.110624
MidWest,1,JJA,1,4.500000,167,102,1151,9246169,0.620818,0.873293,0.117606,0.117582
MidWest,1,JJA,1,5.000000,154,115,939,9246169,0.572491,0.859103,0.127483,0.127460
MidWest,1,JJA,1,5.500000,138,131,734,9246169,0.513011,0.841743,0.137587,0.137565
MidWest,1,JJA,1,6.000000,125,144,587,9246169,0.464684,0.824438,0.146028,0.146007
MidWest,1,JJA,1,6.500000,105,164,479,9246169,0.390335,0.820205,0.140374,0.140355
MidWest,1,JJA,1,7.000000,94,175,396,9246169,0.349442,0.808163,0.141353,0.141335
MidWest,1,JJA,1,7.500000,83,186,322,9246169,0.308550,0.795062,0.140440,0.140423
MidWest,1,JJA,1,8.000000,73,196,273,9246169,0.271375,0.789017,0.134686,0.134670
MidWest,1,JJA,1,8.500000,68,201,226,9246169,0.252788,0.768707,0.137374,0.137359
MidWest,1,JJA,1,9.000000,60,209,195,9246169,0.223048,0.764706,0.129310,0.129296
MidWest,1,JJA,1,9.500000,55,214,167,9246169,0.204461,0.752252,0.126147,0.126134
MidWest,1,JJA,1,10.000000,53,216,140,9246169,0.197026,0.725389,0.129584,0.129572
MidWest,1,JJA,1,10.500000,48,221,122,9246169,0.178439,0.717647,0.122762,0.122751
MidWest,1,JJA,1,11.000000,40,229,106,9246169,0.148699,0.726027,0.106667,0.106657
MidWest,1,JJA,1,11.500000,38,231,93,9246169,0.141264,0.709924,0.104972,0.104963
MidWest,1,JJA,1,12.000000,37,232,79,9246169,0.137546,0.681034,0.106322,0.106313
MidWest,1,SON,2,0.500000,132,1,10113,9305149,0.992481,0.987116,0.012883,0.012869
MidWest,1,SON,2,1.000000,130,3,5336,9305149,0.977444,0.976217,0.023770,0.023756
MidWest,1,SON,2,1.500000,129,4,3792,9305149,0.969925,0.967100,0.032866,0.032852
MidWest,1,SON,2,2.000000,126,7,2907,9305149,0.947368,0.958457,0.041447,0.041434
MidWest,1,SON,2,2.500000,123,10,2304,9305149,0.924812,0.949320,0.050472,0.050458
MidWest,1,SON,2,3.000000,119,14,1836,9305149,0.894737,0.939130,0.060437,0.060423
MidWest,1,SON,2,3.500000,116,17,1515,9305149,0.872180,0.928878,0.070388,0.070375
MidWest,1,SON,2,4.000000,109,24,1228,9305149,0.819549,0.918474,0.080088,0.080075
MidWest,1,SON,2,4.500000,103,30,1006,9305149,0.774436,0.907124,0.090430,0.090418
MidWest,1,SON,2,5.000000,97,36,847,9305149,0.729323,0.897246,0.098980,0.098967
MidWest,1,SON,2,5.500000,93,40,708,9305149,0.699248,0.883895,0.110583,0.110571
MidWest,1,SON,2,6.000000,87,46,600,9305149,0.654135,0.873362,0.118690,0.118679
MidWest,1,SON,2,6.500000,85,48,512,9305149,0.639098,0.857621,0.131783,0.131771
MidWest,1,SON,2,7.000000,76,57,449,9305149,0.571429,0.855238,0.130584,0.130573
MidWest,1,SON,2,7.500000,74,59,389,9305149,0.556391,0.840173,0.141762,0.141752
