Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,254,15,6758,9356689,0.944238,0.963776,0.036146,0.036119
MidWest,1,JJA,1,1.000000,222,47,3103,9356689,0.825279,0.933233,0.065836,0.065810
MidWest,1,JJA,1,1.500000,192,77,1761,9356689,0.713755,0.901690,0.094581,0.094556
MidWest,1,JJA,1,2.000000,166,103,1084,9356689,0.617100,0.867200,0.122690,0.122667
MidWest,1,JJA,1,2.500000,134,135,741,9356689,0.498141,0.846857,0.132673,0.132652
MidWest,1,JJA,1,3.000000,115,154,515,9356689,0.427509,0.817460,0.146684,0.146664
MidWest,1,JJA,1,3.500000,95,174,354,9356689,0.353160,0.788419,0.152488,0.152470
MidWest,1,JJA,1,4.000000,76,193,253,9356689,0.282528,0.768997,0.145594,0.145578
MidWest,1,JJA,1,4.500000,56,213,179,9356689,0.208178,0.761702,0.125000,0.124987
MidWest,1,JJA,1,5.000000,47,222,130,9356689,0.174721,0.734463,0.117794,0.117783
MidWest,1,JJA,1,5.500000,39,230,90,9356689,0.144981,0.697674,0.108635,0.108626
MidWest,1,JJA,1,6.000000,31,238,62,9356689,0.115242,0.666667,0.093656,0.093648
MidWest,1,JJA,1,6.500000,27,242,48,9356689,0.100372,0.640000,0.085174,0.085167
MidWest,1,JJA,1,7.000000,23,246,36,9356689,0.085502,0.610169,0.075410,0.075405
MidWest,1,JJA,1,7.500000,21,248,30,9356689,0.078067,0.588235,0.070234,0.070230
MidWest,1,JJA,1,8.000000,18,251,26,9356689,0.066914,0.590909,0.061017,0.061013
MidWest,1,JJA,1,8.500000,16,253,20,9356689,0.059480,0.555556,0.055363,0.055360
MidWest,1,JJA,1,9.000000,15,254,14,9356689,0.055762,0.482759,0.053004,0.053001
MidWest,1,JJA,1,9.500000,15,254,10,9356689,0.055762,0.400000,0.053763,0.053761
MidWest,1,JJA,1,10.000000,13,256,7,9356689,0.048327,0.350000,0.047101,0.047099
MidWest,1,JJA,1,10.500000,10,259,5,9356689,0.037175,0.333333,0.036496,0.036495
MidWest,1,JJA,1,11.000000,7,262,4,9356689,0.026022,0.363636,0.025641,0.025640
MidWest,1,JJA,1,11.500000,6,263,3,9356689,0.022305,0.333333,0.022059,0.022058
MidWest,1,JJA,1,12.000000,5,264,3,9356689,0.018587,0.375000,0.018382,0.018382
MidWest,1,SON,2,0.500000,132,1,7898,9370510,0.992481,0.983562,0.016436,0.016422
MidWest,1,SON,2,1.000000,127,6,3539,9370510,0.954887,0.965357,0.034586,0.034572
MidWest,1,SON,2,1.500000,123,10,2086,9370510,0.924812,0.944319,0.055430,0.055417
MidWest,1,SON,2,2.000000,115,18,1344,9370510,0.864662,0.921179,0.077861,0.077848
MidWest,1,SON,2,2.500000,108,25,932,9370510,0.812030,0.896154,0.101408,0.101396
MidWest,1,SON,2,3.000000,99,34,642,9370510,0.744361,0.866397,0.127742,0.127730
MidWest,1,SON,2,3.500000,84,49,475,9370510,0.631579,0.849732,0.138158,0.138147
MidWest,1,SON,2,4.000000,74,59,336,9370510,0.556391,0.819512,0.157783,0.157772
MidWest,1,SON,2,4.500000,61,72,244,9370510,0.458647,0.800000,0.161804,0.161794
MidWest,1,SON,2,5.000000,53,80,183,9370510,0.398496,0.775424,0.167722,0.167713
MidWest,1,SON,2,5.500000,40,93,133,9370510,0.300752,0.768786,0.150376,0.150368
