Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,60,1,4947,815010,0.983607,0.988017,0.011981,0.011907
MidWest,1,JJA,1,1.000000,60,1,4102,815010,0.983607,0.985584,0.014413,0.014339
MidWest,1,JJA,1,1.500000,60,1,3653,815010,0.983607,0.983841,0.016155,0.016082
MidWest,1,JJA,1,2.000000,60,1,3332,815010,0.983607,0.982311,0.017683,0.017610
MidWest,1,JJA,1,2.500000,60,1,3063,815010,0.983607,0.980788,0.019206,0.019133
MidWest,1,JJA,1,3.000000,59,2,2822,815010,0.967213,0.979521,0.020465,0.020392
MidWest,1,JJA,1,3.500000,59,2,2583,815010,0.967213,0.977668,0.022315,0.022242
MidWest,1,JJA,1,4.000000,59,2,2391,815010,0.967213,0.975918,0.024062,0.023989
MidWest,1,JJA,1,4.500000,59,2,2225,815010,0.967213,0.974168,0.025809,0.025737
MidWest,1,JJA,1,5.000000,58,3,2030,815010,0.950820,0.972222,0.027738,0.027665
MidWest,1,JJA,1,5.500000,58,3,1881,815010,0.950820,0.970088,0.029866,0.029794
MidWest,1,JJA,1,6.000000,58,3,1737,815010,0.950820,0.967688,0.032258,0.032186
MidWest,1,JJA,1,6.500000,58,3,1619,815010,0.950820,0.965414,0.034524,0.034452
MidWest,1,JJA,1,7.000000,58,3,1496,815010,0.950820,0.962677,0.037251,0.037179
MidWest,1,JJA,1,7.500000,58,3,1395,815010,0.950820,0.960083,0.039835,0.039764
MidWest,1,JJA,1,8.000000,58,3,1300,815010,0.950820,0.957290,0.042616,0.042544
MidWest,1,JJA,1,8.500000,58,3,1220,815010,0.950820,0.954617,0.045277,0.045206
MidWest,1,JJA,1,9.000000,58,3,1131,815010,0.950820,0.951220,0.048658,0.048587
MidWest,1,JJA,1,9.500000,57,4,1054,815010,0.934426,0.948695,0.051121,0.051050
MidWest,1,JJA,1,10.000000,56,5,986,815010,0.918033,0.946257,0.053486,0.053416
MidWest,1,JJA,1,10.500000,56,5,906,815010,0.918033,0.941788,0.057911,0.057841
MidWest,1,JJA,1,11.000000,56,5,848,815010,0.918033,0.938053,0.061606,0.061536
MidWest,1,JJA,1,11.500000,55,6,796,815010,0.901639,0.935370,0.064177,0.064108
MidWest,1,JJA,1,12.000000,54,7,743,815010,0.885246,0.932246,0.067164,0.067095
MidWest,1,SON,2,0.500000,30,0,3566,899161,1.000000,0.991657,0.008343,0.008310
MidWest,1,SON,2,1.000000,30,0,2567,899161,1.000000,0.988448,0.011552,0.011519
MidWest,1,SON,2,1.500000,30,0,1995,899161,1.000000,0.985185,0.014815,0.014782
MidWest,1,SON,2,2.000000,30,0,1638,899161,1.000000,0.982014,0.017986,0.017953
MidWest,1,SON,2,2.500000,30,0,1404,899161,1.000000,0.979079,0.020921,0.020888
MidWest,1,SON,2,3.000000,30,0,1235,899161,1.000000,0.976285,0.023715,0.023683
MidWest,1,SON,2,3.500000,30,0,1112,899161,1.000000,0.973730,0.026270,0.026237
MidWest,1,SON,2,4.000000,30,0,991,899161,1.000000,0.970617,0.029383,0.029351
MidWest,1,SON,2,4.500000,30,0,892,899161,1.000000,0.967462,0.032538,0.032506
MidWest,1,SON,2,5.000000,29,1,805,899161,0.966667,0.965228,0.034731,0.034698
MidWest,1,SON,2,5.500000,29,1,744,899161,0.966667,0.962484,0.037468,0.037436
MidWest,1,SON,2,6.000000,29,1,682,899161,0.966667,0.959212,0.040730,0.040698
MidWest,1,SON,2,6.500000,29,1,627,899161,0.966667,0.955793,0.044140,0.044108
MidWest,1,SON,2,7.000000,29,1,585,899161,0.966667,0.952769,0.047154,0.047123
MidWest,1,SON,2,7.500000,29,1,542,899161,0.966667,0.949212,0.050699,0.050668
MidWest,1,SON,2,8.000000,29,1,490,899161,0.966667,0.944123,0.055769,0.055738
MidWest,1,SON,2,8.500000,29,1,458,899161,0.966667,0.940452,0.059426,0.059395
MidWest,1,SON,2,9.000000,29,1,422,899161,0.966667,0.935698,0.064159,0.064128
MidWest,1,SON,2,9.500000,29,1,378,899161,0.966667,0.928747,0.071078,0.071048
MidWest,1,SON,2,10.000000,28,2,346,899161,0.933333,0.925134,0.074468,0.074437
MidWest,1,SON,2,10.500000,28,2,321,899161,0.933333,0.919771,0.079772,0.079742
MidWest,1,SON,2,11.000000,28,2,290,899161,0.933333,0.911950,0.087500,0.087470
MidWest,1,SON,2,11.500000,27,3,265,899161,0.900000,0.907534,0.091525,0.091495
MidWest,1,SON,2,12.000000,26,4,244,899161,0.866667,0.903704,0.094891,0.094861
MidWest,1,DJF,3,0.500000,6,0,1155,434481,1.000000,0.994832,0.005168,0.005154
MidWest,1,DJF,3,1.000000,6,0,749,434481,1.000000,0.992053,0.007947,0.007933
MidWest,1,DJF,3,1.500000,6,0,519,434481,1.000000,0.988571,0.011429,0.011415
MidWest,1,DJF,3,2.000000,6,0,387,434481,1.000000,0.984733,0.015267,0.015254
MidWest,1,DJF,3,2.500000,6,0,312,434481,1.000000,0.981132,0.018868,0.018854
MidWest,1,DJF,3,3.000000,6,0,261,434481,1.000000,0.977528,0.022472,0.022458
MidWest,1,DJF,3,3.500000,6,0,209,434481,1.000000,0.972093,0.027907,0.027894
MidWest,1,DJF,3,4.000000,6,0,177,434481,1.000000,0.967213,0.032787,0.032774
MidWest,1,DJF,3,4.500000,6,0,156,434481,1.000000,0.962963,0.037037,0.037024
MidWest,1,DJF,3,5.000000,5,1,130,434481,0.833333,0.962963,0.036765,0.036752
MidWest,1,DJF,3,5.500000,4,2,111,434481,0.666667,0.965217,0.034188,0.034175
MidWest,1,DJF,3,6.000000,4,2,93,434481,0.666667,0.958763,0.040404,0.040391
MidWest,1,DJF,3,6.500000,4,2,80,434481,0.666667,0.952381,0.046512,0.046499
MidWest,1,DJF,3,7.000000,4,2,71,434481,0.666667,0.946667,0.051948,0.051935
MidWest,1,DJF,3,7.500000,4,2,68,434481,0.666667,0.944444,0.054054,0.054041
MidWest,1,DJF,3,8.000000,4,2,58,434481,0.666667,0.935484,0.062500,0.062487
MidWest,1,DJF,3,8.500000,3,3,51,434481,0.500000,0.944444,0.052632,0.052619
MidWest,1,DJF,3,9.000000,2,4,48,434481,0.333333,0.960000,0.037037,0.037025
MidWest,1,DJF,3,9.500000,2,4,40,434481,0.333333,0.952381,0.043478,0.043466
MidWest,1,DJF,3,10.000000,2,4,34,434481,0.333333,0.944444,0.050000,0.049988
MidWest,1,DJF,3,10.500000,0,6,32,434481,0.000000,1.000000,0.000000,-0.000012
MidWest,1,DJF,3,11.000000,0,6,27,434481,0.000000,1.000000,0.000000,-0.000011
