Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,57,4,1531,970310,0.934426,0.964106,0.035804,0.035744
MidWest,1,JJA,1,1.000000,47,14,709,970310,0.770492,0.937831,0.061039,0.060981
MidWest,1,JJA,1,1.500000,39,22,408,970310,0.639344,0.912752,0.083156,0.083101
MidWest,1,JJA,1,2.000000,32,29,213,970310,0.524590,0.869388,0.116788,0.116739
MidWest,1,JJA,1,2.500000,25,36,140,970310,0.409836,0.848485,0.124378,0.124333
MidWest,1,JJA,1,3.000000,19,42,103,970310,0.311475,0.844262,0.115854,0.115812
MidWest,1,JJA,1,3.500000,15,46,66,970310,0.245902,0.814815,0.118110,0.118075
MidWest,1,JJA,1,4.000000,12,49,48,970310,0.196721,0.800000,0.110092,0.110061
MidWest,1,JJA,1,4.500000,9,52,36,970310,0.147541,0.800000,0.092784,0.092757
MidWest,1,JJA,1,5.000000,7,54,26,970310,0.114754,0.787879,0.080460,0.080438
MidWest,1,JJA,1,5.500000,6,55,16,970310,0.098361,0.727273,0.077922,0.077906
MidWest,1,JJA,1,6.000000,4,57,11,970310,0.065574,0.733333,0.055556,0.055543
MidWest,1,JJA,1,6.500000,3,58,9,970310,0.049180,0.750000,0.042857,0.042847
MidWest,1,JJA,1,7.000000,3,58,8,970310,0.049180,0.727273,0.043478,0.043469
MidWest,1,JJA,1,7.500000,2,59,8,970310,0.032787,0.800000,0.028986,0.028977
MidWest,1,JJA,1,8.000000,2,59,6,970310,0.032787,0.750000,0.029851,0.029843
MidWest,1,JJA,1,8.500000,1,60,6,970310,0.016393,0.857143,0.014925,0.014919
MidWest,1,JJA,1,9.000000,1,60,3,970310,0.016393,0.750000,0.015625,0.015621
MidWest,1,JJA,1,9.500000,1,60,1,970310,0.016393,0.500000,0.016129,0.016127
MidWest,1,JJA,1,10.000000,1,60,1,970310,0.016393,0.500000,0.016129,0.016127
MidWest,1,JJA,1,10.500000,1,60,0,970310,0.016393,0.000000,0.016393,0.016392
MidWest,1,JJA,1,11.000000,1,60,0,970310,0.016393,0.000000,0.016393,0.016392
MidWest,1,JJA,1,11.500000,1,60,0,970310,0.016393,0.000000,0.016393,0.016392
MidWest,1,JJA,1,12.000000,1,60,0,970310,0.016393,0.000000,0.016393,0.016392
MidWest,1,SON,2,0.500000,30,0,1648,972651,1.000000,0.982122,0.017878,0.017848
MidWest,1,SON,2,1.000000,28,2,767,972651,0.933333,0.964780,0.035132,0.035102
MidWest,1,SON,2,1.500000,27,3,468,972651,0.900000,0.945455,0.054217,0.054188
MidWest,1,SON,2,2.000000,27,3,238,972651,0.900000,0.898113,0.100746,0.100719
