Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,0.500000,197,2,9559,5244685,0.989950,0.979807,0.020189,0.020151
MidWest,1,JJA,1,1.000000,193,6,5594,5244685,0.969849,0.966649,0.033316,0.033279
MidWest,1,JJA,1,1.500000,186,13,3771,5244685,0.934673,0.952995,0.046851,0.046815
MidWest,1,JJA,1,2.000000,181,18,2652,5244685,0.909548,0.936110,0.063486,0.063451
MidWest,1,JJA,1,2.500000,175,24,1974,5244685,0.879397,0.918567,0.080534,0.080499
MidWest,1,JJA,1,3.000000,165,34,1490,5244685,0.829146,0.900302,0.097691,0.097657
MidWest,1,JJA,1,3.500000,144,55,1149,5244685,0.723618,0.888631,0.106825,0.106792
MidWest,1,JJA,1,4.000000,133,66,871,5244685,0.668342,0.867530,0.124299,0.124268
MidWest,1,JJA,1,4.500000,117,82,700,5244685,0.587940,0.856793,0.130145,0.130115
MidWest,1,JJA,1,5.000000,105,94,557,5244685,0.527638,0.841390,0.138889,0.138860
MidWest,1,JJA,1,5.500000,93,106,423,5244685,0.467337,0.819767,0.149518,0.149491
MidWest,1,JJA,1,6.000000,83,116,325,5244685,0.417085,0.796569,0.158397,0.158372
MidWest,1,JJA,1,6.500000,72,127,261,5244685,0.361809,0.783784,0.156522,0.156499
MidWest,1,JJA,1,7.000000,65,134,218,5244685,0.326633,0.770318,0.155875,0.155854
MidWest,1,JJA,1,7.500000,55,144,175,5244685,0.276382,0.760870,0.147059,0.147039
MidWest,1,JJA,1,8.000000,48,151,141,5244685,0.241206,0.746032,0.141176,0.141158
MidWest,1,JJA,1,8.500000,44,155,111,5244685,0.221106,0.716129,0.141935,0.141919
MidWest,1,JJA,1,9.000000,40,159,94,5244685,0.201005,0.701493,0.136519,0.136504
MidWest,1,JJA,1,9.500000,38,161,81,5244685,0.190955,0.680672,0.135714,0.135700
MidWest,1,JJA,1,10.000000,37,162,72,5244685,0.185930,0.660550,0.136531,0.136518
MidWest,1,JJA,1,10.500000,33,166,62,5244685,0.165829,0.652632,0.126437,0.126425
MidWest,1,JJA,1,11.000000,27,172,56,5244685,0.135678,0.674699,0.105882,0.105871
MidWest,1,JJA,1,11.500000,25,174,46,5244685,0.125628,0.647887,0.102041,0.102031
MidWest,1,JJA,1,12.000000,25,174,39,5244685,0.125628,0.609375,0.105042,0.105033
MidWest,1,SON,2,0.500000,100,1,7269,5272922,0.990099,0.986430,0.013569,0.013550
MidWest,1,SON,2,1.000000,98,3,3909,5272922,0.970297,0.975543,0.024439,0.024420
MidWest,1,SON,2,1.500000,97,4,2758,5272922,0.960396,0.966025,0.033928,0.033909
MidWest,1,SON,2,2.000000,95,6,2131,5272922,0.940594,0.957323,0.042563,0.042544
MidWest,1,SON,2,2.500000,93,8,1697,5272922,0.920792,0.948045,0.051724,0.051706
MidWest,1,SON,2,3.000000,89,12,1352,5272922,0.881188,0.938237,0.061253,0.061235
MidWest,1,SON,2,3.500000,86,15,1110,5272922,0.851485,0.928094,0.071016,0.070998
MidWest,1,SON,2,4.000000,80,21,888,5272922,0.792079,0.917355,0.080890,0.080873
MidWest,1,SON,2,4.500000,76,25,719,5272922,0.752475,0.904403,0.092683,0.092666
MidWest,1,SON,2,5.000000,72,29,607,5272922,0.712871,0.893962,0.101695,0.101678
MidWest,1,SON,2,5.500000,68,33,515,5272922,0.673267,0.883362,0.110390,0.110373
MidWest,1,SON,2,6.000000,63,38,436,5272922,0.623762,0.873747,0.117318,0.117303
MidWest,1,SON,2,6.500000,62,39,371,5272922,0.613861,0.856813,0.131356,0.131341
MidWest,1,SON,2,7.000000,56,45,328,5272922,0.554455,0.854167,0.130536,0.130521
MidWest,1,SON,2,7.500000,55,46,278,5272922,0.544554,0.834835,0.145119,0.145104
MidWest,1,SON,2,8.000000,51,50,238,5272922,0.504950,0.823529,0.150442,0.150429
MidWest,1,SON,2,8.500000,46,55,200,5272922,0.455446,0.813008,0.152824,0.152811
MidWest,1,SON,2,9.000000,40,61,173,5272922,0.396040,0.812207,0.145985,0.145973
MidWest,1,SON,2,9.500000,39,62,149,5272922,0.386139,0.792553,0.156000,0.155988
MidWest,1,SON,2,10.000000,36,65,129,5272922,0.356436,0.781818,0.156522,0.156510
MidWest,1,SON,2,10.500000,33,68,114,5272922,0.326733,0.775510,0.153488,0.153477
MidWest,1,SON,2,11.000000,30,71,101,5272922,0.297030,0.770992,0.148515,0.148504
